,palavras,Arthur,Thiago,Priscilla
30674,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30675,dourada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30676,intensa,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,o
30677,brilhante,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30678,amadeirado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_SABOR
30679,caramelo,CARACTERISTICA_SENSORIAL_COR,o,o
30680,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30681,29,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30682,29,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30683,29,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30684,cristalino,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30685,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30686,cristalino,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30687,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30688,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30689,Edição,o,o,NOME_BEBIDA
30690,Internacional,o,o,NOME_BEBIDA
30691,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30692,cristalino,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30693,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30694,cristalino,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30695,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30696,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30697,Gold,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,NOME_BEBIDA
30698,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30699,Gold,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,NOME_BEBIDA
30700,700,VOLUME,VOLUME,VOLUME
30701,ml,VOLUME,VOLUME,VOLUME
30702,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30703,Gold,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,NOME_BEBIDA
30704,700,VOLUME,VOLUME,VOLUME
30705,ml,VOLUME,VOLUME,VOLUME
30706,barris,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30707,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30708,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30709,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30710,GOLD,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,NOME_BEBIDA
30711,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30712,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30713,dourada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30714,intensa,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,o
30715,brilhante,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30716,amadeirado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA
30717,caramelo,CARACTERISTICA_SENSORIAL_COR,o,o
30718,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30719,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30720,dourada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30721,intensa,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,o
30722,brilhante,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30723,amadeirado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
30724,caramelo,CARACTERISTICA_SENSORIAL_COR,o,o
30725,carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30726,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30727,Mel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30728,51,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30729,MEL,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30730,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30731,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30732,dourada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30733,adocicado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
30734,notas,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_AROMA
30735,de,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_AROMA
30736,mel,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30737,frutas,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30738,cítricas,o,CARACTERISTICA_SENSORIAL_AROMA,o
30739,limão,CARACTERISTICA_SENSORIAL_AROMA,o,o
30740,mel,CARACTERISTICA_SENSORIAL_AROMA,o,o
30741,caramelo,CARACTERISTICA_SENSORIAL_COR,o,o
30742,amarelo,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30743,-,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30744,dourada,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30745,adocicado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA
30746,notas,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_AROMA
30747,de,CARACTERISTICA_SENSORIAL_SABOR,o,CARACTERISTICA_SENSORIAL_AROMA
30748,mel,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30749,frutas,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30750,limão,CARACTERISTICA_SENSORIAL_AROMA,o,o
30751,29,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30752,Pernambucana,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30753,29,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30754,Pernambucana,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30755,cristalino,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_AROMA
30756,suave,o,CARACTERISTICA_SENSORIAL_AROMA,o
30757,adocicado,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
30758,transparente,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30759,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30760,doce,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30761,levemente,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30762,alcoólico,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30763,herbáceo,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA
30764,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30765,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30766,12,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30767,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30768,R$129,PRECO,PRECO,PRECO
30769,",",PRECO,PRECO,PRECO
30770,00,PRECO,PRECO,PRECO
30771,Dom,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30772,Tápparo,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30773,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30774,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30775,12,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30776,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30777,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30778,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30779,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30780,38,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30781,%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30782,750ml,VOLUME,VOLUME,VOLUME
30783,750ml,VOLUME,VOLUME,VOLUME
30784,38,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30785,Toneis,RECIPIENTE_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30786,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30787,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30788,12,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30789,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30790,Extra,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30791,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30792,Americano,o,TIPO_MADEIRA,TIPO_MADEIRA
30793,R$299,PRECO,PRECO,PRECO
30794,",",PRECO,PRECO,PRECO
30795,00,PRECO,PRECO,PRECO
30796,EXTRA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30797,PREMIUM,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30798,CARVALHO,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30799,AMERICANO,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30800,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30801,ANOS,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30802,Sete,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30803,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30804,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30805,Amendoim,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30806,Três,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30807,Anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30808,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30809,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30810,Americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30811,Dom,NOME_ORGANIZACAO,NOME_BEBIDA,NOME_BEBIDA
30812,Tápparo,NOME_ORGANIZACAO,NOME_BEBIDA,NOME_BEBIDA
30813,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30814,750ml,VOLUME,VOLUME,VOLUME
30815,750ml,VOLUME,VOLUME,VOLUME
30816,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30817,Toneis,RECIPIENTE_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30818,Amendoim,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30819,Toneis,RECIPIENTE_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30820,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30821,Americano,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30822,10,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30823,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30824,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30825,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30826,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30827,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30828,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30829,R$79,PRECO,PRECO,PRECO
30830,",",PRECO,PRECO,PRECO
30831,00,PRECO,PRECO,PRECO
30832,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30833,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30834,tonel,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30835,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30836,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30837,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30838,700ml,VOLUME,VOLUME,VOLUME
30839,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30840,Carvalho,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30841,Europeu,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30842,3,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30843,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30844,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30845,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30846,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30847,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30848,R$89,PRECO,PRECO,PRECO
30849,",",PRECO,PRECO,PRECO
30850,00,PRECO,PRECO,PRECO
30851,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30852,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30853,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30854,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30855,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30856,700ml,VOLUME,VOLUME,VOLUME
30857,700ml,VOLUME,VOLUME,VOLUME
30858,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30859,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30860,Jequitibá,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30861,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30862,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30863,Premium,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30864,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30865,Dom,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30866,Tápparo,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30867,R$79,PRECO,PRECO,PRECO
30868,",",PRECO,PRECO,PRECO
30869,00,PRECO,PRECO,PRECO
30870,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30871,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30872,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30873,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30874,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30875,750ml,VOLUME,VOLUME,VOLUME
30876,38%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30877,Toneis,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO,RECIPIENTE_ARMAZENAMENTO
30878,Amburana,TIPO_MADEIRA,TIPO_MADEIRA,TIPO_MADEIRA
30879,6,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30880,anos,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO,TEMPO_ARMAZENAMENTO
30881,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30882,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30883,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30884,600ml,VOLUME,VOLUME,VOLUME
30885,R$,PRECO,PRECO,PRECO
30886,47,PRECO,PRECO,PRECO
30887,",",PRECO,PRECO,PRECO
30888,00,PRECO,PRECO,PRECO
30889,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30890,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30891,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30892,600ml,VOLUME,VOLUME,VOLUME
30893,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30894,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30895,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30896,vegetal,CARACTERISTICA_SENSORIAL_AROMA,o,CARACTERISTICA_SENSORIAL_SABOR
30897,adocicada,CARACTERISTICA_SENSORIAL_AROMA,o,CARACTERISTICA_SENSORIAL_SABOR
30898,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30899,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30900,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30901,Linhares,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30902,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30903,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30904,Cellia,o,o,NOME_PESSOA
30905,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30906,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30907,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30908,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30909,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30910,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30911,Princesa,NOME_BEBIDA,o,NOME_BEBIDA
30912,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30913,Prata,CLASSIFICACAO_BEBIDA,NOME_BEBIDA,CLASSIFICACAO_BEBIDA
30914,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30915,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30916,Prata,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA,CLASSIFICACAO_BEBIDA
30917,Adão,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30918,Pedro,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30919,Princesa,NOME_BEBIDA,NOME_ORGANIZACAO,NOME_BEBIDA
30920,Isabel,NOME_BEBIDA,NOME_ORGANIZACAO,NOME_BEBIDA
30921,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30922,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30923,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30924,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30925,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30926,Linhares,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30927,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30928,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30929,fazenda,NOME_ORGANIZACAO,NOME_ORGANIZACAO,o
30930,Tupã,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
30931,Cellia,o,o,NOME_PESSOA
30932,20,VOLUME,VOLUME,VOLUME
30933,mil,VOLUME,VOLUME,VOLUME
30934,litros,VOLUME,VOLUME,VOLUME
30935,Princesa,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30936,Isabel,NOME_BEBIDA,NOME_BEBIDA,NOME_BEBIDA
30937,Adão,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30938,Cellia,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30939,Nova,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30940,Venécia,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30941,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30942,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30943,Adão,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30944,Adão,NOME_PESSOA,NOME_PESSOA,NOME_PESSOA
30945,Isabel,NOME_PESSOA,o,NOME_PESSOA
30946,2020,TEMPO,TEMPO,TEMPO
30947,42%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30948,adocicada,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
30949,vegetal,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR,CARACTERISTICA_SENSORIAL_SABOR
30950,600ml,VOLUME,VOLUME,VOLUME
30951,600,VOLUME,VOLUME,VOLUME
30952,ml,VOLUME,VOLUME,VOLUME
30953,Espírito,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30954,Santo,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30955,Brasil,NOME_LOCAL,NOME_LOCAL,NOME_LOCAL
30956,Princesa,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
30957,Isabel,NOME_ORGANIZACAO,NOME_ORGANIZACAO,NOME_ORGANIZACAO
30958,42%,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA,GRADUACAO_ALCOOLICA
30959,incolor,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR,CARACTERISTICA_SENSORIAL_COR
30960,adocicados,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_AROMA,CARACTERISTICA_SENSORIAL_SABOR
